fold,h,order,seasonal_order,mape_val,aicc,bic,lb_pvalue,RMSE,MAE,MAPE,sMAPE,RegionName
0,3,"(2, 1, 1)","(1, 1, 1, 12)",0.6947620300258923,1392.445915676913,1406.8981498039743,0.00010849254985545155,2209.154709814186,1926.5502087380348,0.48824995996038634,0.4898248551674371,"New York, NY"
0,6,"(2, 1, 1)","(1, 1, 1, 12)",0.6947620300258923,1392.445915676913,1406.8981498039743,0.00010849254985545155,4099.783250627094,3631.096448490338,0.9250059760601677,0.9305078857150392,"New York, NY"
0,12,"(2, 1, 1)","(1, 1, 1, 12)",0.6947620300258923,1392.445915676913,1406.8981498039743,0.00010849254985545155,5247.929100073555,4905.833808438595,1.2654742319139478,1.2747370342383963,"New York, NY"
1,3,"(1, 1, 0)","(1, 1, 0, 12)",0.5117369646382733,1452.9626452424252,1460.4850975056665,0.005614834760809068,1520.2483550061759,1263.0087377061525,0.3228703274981591,0.32211573242733277,"New York, NY"
1,6,"(1, 1, 0)","(1, 1, 0, 12)",0.5117369646382733,1452.9626452424252,1460.4850975056665,0.005614834760809068,3898.403708155186,3226.43214584467,0.8319703494076673,0.826932809358088,"New York, NY"
1,12,"(1, 1, 0)","(1, 1, 0, 12)",0.5117369646382733,1452.9626452424252,1460.4850975056665,0.005614834760809068,9292.966447427949,7715.915564383763,2.021537153172611,1.9921809048094132,"New York, NY"
2,3,"(0, 1, 2)","(0, 1, 1, 12)",0.5674912594931466,1602.4966941845082,1612.505985586794,0.001782222803798595,1186.0206767349832,1009.668740654403,0.2612615004686021,0.26079056554057767,"New York, NY"
2,6,"(0, 1, 2)","(0, 1, 1, 12)",0.5674912594931466,1602.4966941845082,1612.505985586794,0.001782222803798595,1730.4843125729271,1573.9451055774116,0.4101794935085776,0.40916305674863085,"New York, NY"
2,12,"(0, 1, 2)","(0, 1, 1, 12)",0.5674912594931466,1602.4966941845082,1612.505985586794,0.001782222803798595,1970.3413068681625,1724.903346468879,0.4522179728981037,0.45198364159272425,"New York, NY"
3,3,"(2, 2, 0)","(0, 0, 0, 12)",0.16560382196576745,1760.795999200124,1769.088940412031,1.1680137219037072e-05,150.69482497649778,131.49233135949666,0.034445916523514856,0.03443811946615925,"New York, NY"
3,6,"(2, 2, 0)","(0, 0, 0, 12)",0.16560382196576745,1760.795999200124,1769.088940412031,1.1680137219037072e-05,872.4518622712287,514.7402250005592,0.13585205850895696,0.13610982324935364,"New York, NY"
3,12,"(2, 2, 0)","(0, 0, 0, 12)",0.16560382196576745,1760.795999200124,1769.088940412031,1.1680137219037072e-05,6864.319144130135,4823.652041080379,1.2683120211515533,1.2848171862804492,"New York, NY"
4,3,"(0, 2, 0)","(0, 0, 0, 12)",1.0872887937201128,1875.0094812932157,1877.8385244668082,0.0019524520620638316,1408.1431116202054,1076.5203090952127,0.28442036975946644,0.285114535004407,"New York, NY"
